2a14:7584:f000::/40,US,US-OR,Bend,
2a14:7584:f100::/40,US,US-OR,Bend,
2a14:7584:f200::/40,US,US-OR,Bend,
2a14:7584:f300::/40,US,US-OR,Bend,
2a14:7584:f400::/40,US,US-CA,Los Angeles,
2a14:7584:f500::/40,US,US-CA,Los Angeles,
2a14:7584:f600::/40,US,US-CA,Los Angeles,
2a14:7584:f700::/40,US,US-TX,Dallas,
2a14:7584:f800::/40,US,US-TX,Dallas,
2a14:7584:f900::/40,US,US-TX,Dallas,
2a14:7584:fa00::/40,US,US-NY,New York,
2a14:7584:fb00::/40,US,US-NY,New York,
2a14:7584:fc00::/40,US,US-NY,New York,
2a14:7584:fd00::/40,GB,GB-ENG,City of Westminster,
2a14:7584:fe00::/40,DE,DE-BE,Pankow,
2a14:7584:ff00::/40,US,US-FL,Miami,
